CPU_Temperature
38.846
37.923
44.384
47.153
48.076
49.923
54.538
56.384
57.307
58.23
59.153
59.153
60.076
60.076
61.923
61.923
59.153
56.384
56.384
55.461
55.461
55.461
55.461
55.461
55.461
55.461
55.461
55.461
55.461
57.307
60.076
61.0
61.0
61.923
62.846
63.769
63.769
63.769
64.692
64.692
64.692
64.692
65.615
65.615
65.615
62.846
64.692
64.692
65.615
66.538
66.538
67.461
67.461
64.692
65.615
65.615
65.615
65.615
65.615
65.615
63.769
62.846
62.846
61.923
61.923
61.923
61.923
61.923
61.0
60.076
60.076
60.076
60.076
60.076
60.076
60.076
61.0
61.923
61.923
61.923
61.923
61.923
61.923
61.923
61.0
61.0
61.0
61.0
60.076
60.076
60.076
60.076
60.076
60.076
60.076
61.0
60.076
59.153
60.076
61.923
61.923
61.0
61.0
61.923
61.0
61.0
61.923
61.923
61.923
